iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths
MYS,Malaysia,2020-01-25,3.0,3.0,,
MYS,Malaysia,2020-01-26,4.0,1.0,,
MYS,Malaysia,2020-01-27,4.0,0.0,,
MYS,Malaysia,2020-01-28,4.0,0.0,,
MYS,Malaysia,2020-01-29,7.0,3.0,,
MYS,Malaysia,2020-01-30,8.0,1.0,,
MYS,Malaysia,2020-01-31,8.0,0.0,,
MYS,Malaysia,2020-02-01,8.0,0.0,,
MYS,Malaysia,2020-02-02,8.0,0.0,,
MYS,Malaysia,2020-02-03,8.0,0.0,,
MYS,Malaysia,2020-02-04,10.0,2.0,,
MYS,Malaysia,2020-02-05,12.0,2.0,,
MYS,Malaysia,2020-02-06,12.0,0.0,,
MYS,Malaysia,2020-02-07,12.0,0.0,,
MYS,Malaysia,2020-02-08,16.0,4.0,,
MYS,Malaysia,2020-02-09,16.0,0.0,,
MYS,Malaysia,2020-02-10,18.0,2.0,,
MYS,Malaysia,2020-02-11,18.0,0.0,,
MYS,Malaysia,2020-02-12,18.0,0.0,,
MYS,Malaysia,2020-02-13,19.0,1.0,,
