No,date,new_cases
245,2020-09-26,82.0
246,2020-09-27,150.0
247,2020-09-28,115.0
248,2020-09-29,101.0
249,2020-09-30,89.0
250,2020-10-01,260.0
251,2020-10-02,287.0
252,2020-10-03,317.0
253,2020-10-04,293.0
254,2020-10-05,432.0
255,2020-10-06,691.0
256,2020-10-07,489.0
257,2020-10-08,375.0
258,2020-10-09,354.0
259,2020-10-10,374.0
260,2020-10-11,561.0
261,2020-10-12,563.0
262,2020-10-13,660.0
263,2020-10-14,660.0
264,2020-10-15,589.0
265,2020-10-16,629.0
266,2020-10-17,869.0
267,2020-10-18,871.0
268,2020-10-19,865.0
269,2020-10-20,862.0
270,2020-10-21,732.0
271,2020-10-22,847.0
272,2020-10-23,710.0
273,2020-10-24,1228.0
274,2020-10-25,823.0
275,2020-10-26,1240.0
276,2020-10-27,835.0
277,2020-10-28,801.0
278,2020-10-29,649.0
279,2020-10-30,799.0
280,2020-10-31,659.0
281,2020-11-01,957.0
282,2020-11-02,834.0
283,2020-11-03,1054.0
284,2020-11-04,1032.0
285,2020-11-05,1009.0
286,2020-11-06,1755.0
287,2020-11-07,1168.0
288,2020-11-08,852.0
289,2020-11-09,972.0
290,2020-11-10,869.0
291,2020-11-11,822.0
292,2020-11-12,919.0
293,2020-11-13,1304.0
294,2020-11-14,1114.0
295,2020-11-15,1208.0
296,2020-11-16,1103.0
297,2020-11-17,1210.0
298,2020-11-18,660.0
299,2020-11-19,1290.0
300,2020-11-20,958.0
301,2020-11-21,1041.0
302,2020-11-22,1096.0
303,2020-11-23,1884.0
304,2020-11-24,2188.0
305,2020-11-25,970.0
306,2020-11-26,935.0
307,2020-11-27,1109.0
308,2020-11-28,1315.0
309,2020-11-29,1309.0
310,2020-11-30,1212.0
311,2020-12-01,1472.0
312,2020-12-02,851.0
313,2020-12-03,1075.0
314,2020-12-04,1141.0
315,2020-12-05,1123.0
316,2020-12-06,1335.0
317,2020-12-07,1600.0
318,2020-12-08,1012.0
319,2020-12-09,959.0
320,2020-12-10,2234.0
321,2020-12-11,1810.0
322,2020-12-12,1937.0
323,2020-12-13,1229.0
324,2020-12-14,1371.0
325,2020-12-15,1772.0
326,2020-12-16,1295.0
327,2020-12-17,1220.0
328,2020-12-18,1683.0
329,2020-12-19,1153.0
330,2020-12-20,1340.0
331,2020-12-21,2018.0
332,2020-12-22,2062.0
333,2020-12-23,1348.0
334,2020-12-24,1581.0
335,2020-12-25,1247.0
336,2020-12-26,2335.0
337,2020-12-27,1196.0
338,2020-12-28,1594.0
339,2020-12-29,1925.0
340,2020-12-30,1870.0
341,2020-12-31,2525.0
342,2021-01-01,2068.0
343,2021-01-02,2295.0
344,2021-01-03,1704.0
345,2021-01-04,1741.0
346,2021-01-05,2027.0
347,2021-01-06,2593.0
348,2021-01-07,3027.0
349,2021-01-08,2643.0
350,2021-01-09,2451.0
351,2021-01-10,2433.0
352,2021-01-11,2232.0
353,2021-01-12,3309.0
354,2021-01-13,2985.0
355,2021-01-14,3337.0
356,2021-01-15,3211.0
357,2021-01-16,4029.0
358,2021-01-17,3339.0
359,2021-01-18,3306.0
360,2021-01-19,3631.0
361,2021-01-20,4008.0
362,2021-01-21,3170.0
363,2021-01-22,3631.0
364,2021-01-23,4275.0
365,2021-01-24,3346.0
366,2021-01-25,3048.0
367,2021-01-26,3585.0
368,2021-01-27,3680.0
369,2021-01-28,4094.0
370,2021-01-29,5725.0
371,2021-01-30,5728.0
372,2021-01-31,5298.0
373,2021-02-01,4214.0
374,2021-02-02,3455.0
375,2021-02-03,4284.0
376,2021-02-04,4571.0
377,2021-02-05,3391.0
378,2021-02-06,3847.0
379,2021-02-07,3731.0
380,2021-02-08,3100.0
381,2021-02-09,2764.0
382,2021-02-10,3288.0
383,2021-02-11,3384.0
384,2021-02-12,3318.0
385,2021-02-13,3499.0
386,2021-02-14,2464.0
387,2021-02-15,2176.0
388,2021-02-16,2720.0
