date,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var7(t)
2020-03-20,6534.0,1066.0,spring,0.0,0.0,0.0,52,132
2020-03-21,7792.0,1258.0,spring,0.0,0.0,0.0,132,158
2020-03-22,9007.0,1215.0,spring,0.0,0.0,0.0,158,102
2020-03-23,10395.0,1388.0,spring,0.0,0.0,0.0,102,139
2020-03-24,12744.0,2349.0,spring,1.0,0.0,0.0,139,151
2020-03-25,15126.0,2382.0,spring,1.0,0.0,0.0,151,189
2020-03-26,17843.0,2717.0,spring,1.0,0.0,0.0,189,205
2020-03-27,20970.0,3127.0,spring,1.0,0.0,0.0,205,262
2020-03-28,24219.0,3249.0,spring,1.0,0.0,0.0,262,283
2020-03-29,27062.0,2843.0,spring,1.0,0.0,0.0,283,317
2020-03-30,29954.0,2892.0,spring,1.0,0.0,0.0,317,420
2020-03-31,34281.0,4327.0,spring,1.0,0.0,0.0,420,358
2020-04-01,38815.0,4534.0,spring,1.0,0.0,0.0,358,517
2020-04-02,43789.0,4974.0,spring,1.0,0.0,0.0,517,430
2020-04-03,48718.0,4929.0,spring,1.0,0.0,0.0,430,411
2020-04-04,53699.0,4981.0,spring,1.0,0.0,0.0,411,406
2020-04-05,57772.0,4073.0,spring,1.0,0.0,0.0,406,409
2020-04-06,61422.0,3650.0,spring,1.0,0.0,0.0,409,401
2020-04-07,66738.0,5316.0,spring,1.0,0.0,0.0,401,480
2020-04-08,72224.0,5486.0,spring,1.0,0.0,0.0,480,531
2020-04-09,77387.0,5163.0,spring,1.0,0.0,0.0,531,376
2020-04-10,82293.0,4906.0,spring,1.0,0.0,0.0,376,371
2020-04-11,86660.0,4367.0,spring,1.0,0.0,0.0,371,353
2020-04-12,90273.0,3613.0,spring,1.0,0.0,0.0,353,325
2020-04-13,93812.0,3539.0,spring,1.0,0.0,0.0,325,351
2020-04-14,98017.0,4205.0,spring,1.0,0.0,0.0,351,334
2020-04-15,102365.0,4348.0,spring,1.0,0.0,0.0,334,277
2020-04-16,107465.0,5100.0,spring,1.0,0.0,0.0,277,289
2020-04-17,112808.0,5343.0,spring,1.0,0.0,0.0,289,359
2020-04-18,117798.0,4990.0,spring,1.0,0.0,0.0,359,311
2020-04-19,122534.0,4736.0,spring,1.0,0.0,0.0,311,224
2020-04-20,126394.0,3860.0,spring,1.0,0.0,0.0,224,284
2020-04-21,131260.0,4866.0,spring,1.0,0.0,0.0,284,291
2020-04-22,136035.0,4775.0,spring,1.0,0.0,0.0,291,305
2020-04-23,141540.0,5505.0,spring,1.0,0.0,0.0,305,266
2020-04-24,146708.0,5168.0,spring,1.0,0.0,0.0,266,293
2020-04-25,151689.0,4981.0,spring,1.0,0.0,0.0,293,249
2020-04-26,155453.0,3764.0,spring,1.0,0.0,0.0,249,243
2020-04-27,158926.0,3473.0,spring,1.0,0.0,0.0,243,341
2020-04-28,163630.0,4704.0,spring,1.0,0.0,0.0,341,327
2020-04-29,168357.0,4727.0,spring,1.0,0.0,0.0,327,332
2020-04-30,173807.0,5450.0,spring,1.0,0.0,0.0,332,294
2020-05-01,178771.0,4964.0,spring,1.0,0.0,0.0,294,277
2020-05-02,183501.0,4730.0,spring,1.0,0.0,0.0,277,235
2020-05-03,186731.0,3230.0,spring,1.0,0.0,0.0,235,218
2020-05-04,189708.0,2977.0,spring,1.0,0.0,0.0,218,285
2020-05-05,193091.0,3383.0,spring,1.0,0.0,0.0,285,286
2020-05-06,196780.0,3689.0,spring,1.0,0.0,0.0,286,263
2020-05-07,200616.0,3836.0,spring,1.0,0.0,0.0,263,276
2020-05-08,204387.0,3771.0,spring,1.0,0.0,0.0,276,230
2020-05-09,207439.0,3052.0,spring,1.0,0.0,0.0,230,230
2020-05-10,209589.0,2150.0,spring,1.0,0.0,0.0,230,179
2020-05-11,211911.0,2322.0,spring,0.0,0.0,0.0,179,218
2020-05-12,215500.0,3589.0,spring,0.0,0.0,0.0,218,272
2020-05-13,218895.0,3395.0,spring,0.0,0.0,0.0,272,278
2020-05-14,222195.0,3300.0,spring,0.0,0.0,0.0,278,248
2020-05-15,224813.0,2618.0,spring,0.0,0.0,0.0,248,259
2020-05-16,227334.0,2521.0,spring,0.0,0.0,0.0,259,192
2020-05-17,229406.0,2072.0,spring,0.0,0.0,0.0,192,153
2020-05-18,231232.0,1826.0,spring,0.0,0.0,0.0,153,202
2020-05-19,233809.0,2577.0,spring,0.0,0.0,0.0,202,230
2020-05-20,236867.0,3058.0,spring,0.0,0.0,0.0,230,222
2020-05-21,239579.0,2712.0,spring,0.0,0.0,0.0,222,222
2020-05-22,242133.0,2554.0,spring,0.0,0.0,0.0,222,249
2020-05-23,244174.0,2041.0,spring,0.0,0.0,0.0,249,167
2020-05-24,245682.0,1508.0,spring,0.0,0.0,0.0,167,153
2020-05-25,247037.0,1355.0,spring,0.0,0.0,0.0,153,170
2020-05-26,248650.0,1613.0,spring,0.0,0.0,0.0,170,182
2020-05-27,250309.0,1659.0,spring,0.0,0.0,0.0,182,188
2020-05-28,252118.0,1809.0,spring,0.0,0.0,0.0,188,179
2020-05-29,253854.0,1736.0,spring,0.0,0.0,0.0,179,195
2020-05-30,255362.0,1508.0,spring,0.0,0.0,0.0,195,130
2020-05-31,256469.0,1107.0,spring,0.0,0.0,0.0,130,107
2020-06-01,257539.0,1070.0,spring,0.0,0.0,0.0,107,169
2020-06-02,258983.0,1444.0,summer,0.0,0.0,0.0,169,194
2020-06-03,260453.0,1470.0,summer,0.0,0.0,0.0,194,200
2020-06-04,261802.0,1349.0,summer,0.0,0.0,0.0,200,191
2020-06-05,263040.0,1238.0,summer,0.0,0.0,0.0,191,178
2020-06-06,264150.0,1110.0,summer,0.0,0.0,0.0,178,110
2020-06-07,264944.0,794.0,summer,0.0,0.0,0.0,110,112
2020-06-08,265662.0,718.0,summer,0.0,0.0,0.0,112,125
2020-06-09,266756.0,1094.0,summer,0.0,0.0,0.0,125,149
2020-06-10,267915.0,1159.0,summer,0.0,0.0,0.0,149,143
2020-06-11,269101.0,1186.0,summer,0.0,0.0,0.0,143,115
2020-06-12,270108.0,1007.0,summer,0.0,0.0,0.0,115,110
2020-06-13,271162.0,1054.0,summer,0.0,0.0,0.0,110,98
2020-06-14,272050.0,888.0,summer,0.0,0.0,0.0,98,85
2020-06-15,272857.0,807.0,summer,0.0,0.0,0.0,85,144
2020-06-16,273888.0,1031.0,summer,0.0,0.0,0.0,144,133
2020-06-17,274971.0,1083.0,summer,0.0,0.0,0.0,133,147
2020-06-18,275970.0,999.0,summer,0.0,0.0,0.0,147,137
2020-06-19,276990.0,1020.0,summer,0.0,0.0,0.0,137,119
2020-06-20,277974.0,984.0,summer,0.0,0.0,0.0,119,71
2020-06-21,278640.0,666.0,summer,0.0,0.0,0.0,71,77
2020-06-22,279264.0,624.0,summer,0.0,0.0,0.0,77,141
2020-06-23,280156.0,892.0,summer,0.0,0.0,0.0,141,112
2020-06-24,281038.0,882.0,summer,0.0,0.0,0.0,112,105
2020-06-25,281815.0,777.0,summer,0.0,0.0,0.0,105,119
2020-06-26,282512.0,697.0,summer,0.0,0.0,0.0,119,123
2020-06-27,283151.0,639.0,summer,0.0,0.0,0.0,123,97
2020-06-28,283785.0,634.0,summer,0.0,0.0,0.0,97,47
2020-06-29,284192.0,407.0,summer,0.0,0.0,0.0,47,73
2020-06-30,284812.0,620.0,summer,0.0,0.0,0.0,73,79
2020-07-01,285216.0,404.0,summer,0.0,0.0,0.0,79,78
2020-07-02,285279.0,63.0,summer,0.0,0.0,0.0,78,74
2020-07-03,285285.0,6.0,summer,0.0,0.0,0.0,74,72
2020-07-04,285787.0,502.0,summer,0.0,0.0,0.0,72,47
2020-07-05,286412.0,625.0,summer,0.0,0.0,0.0,47,48
2020-07-06,286931.0,519.0,summer,0.0,0.0,0.0,48,67
2020-07-07,287290.0,359.0,summer,0.0,0.0,0.0,67,59
