,0,1,2,3,4,5,6,7
0,6534.0,1066.0,1,0.0,0.0,0.0,52,132
1,7792.0,1258.0,1,0.0,0.0,0.0,132,158
2,9007.0,1215.0,1,0.0,0.0,0.0,158,102
3,10395.0,1388.0,1,0.0,0.0,0.0,102,139
4,12744.0,2349.0,1,1.0,0.0,0.0,139,151
5,15126.0,2382.0,1,1.0,0.0,0.0,151,189
6,17843.0,2717.0,1,1.0,0.0,0.0,189,205
7,20970.0,3127.0,1,1.0,0.0,0.0,205,262
8,24219.0,3249.0,1,1.0,0.0,0.0,262,283
9,27062.0,2843.0,1,1.0,0.0,0.0,283,317
10,29954.0,2892.0,1,1.0,0.0,0.0,317,420
11,34281.0,4327.0,1,1.0,0.0,0.0,420,358
12,38815.0,4534.0,1,1.0,0.0,0.0,358,517
13,43789.0,4974.0,1,1.0,0.0,0.0,517,430
14,48718.0,4929.0,1,1.0,0.0,0.0,430,411
15,53699.0,4981.0,1,1.0,0.0,0.0,411,406
16,57772.0,4073.0,1,1.0,0.0,0.0,406,409
17,61422.0,3650.0,1,1.0,0.0,0.0,409,401
18,66738.0,5316.0,1,1.0,0.0,0.0,401,480
19,72224.0,5486.0,1,1.0,0.0,0.0,480,531
20,77387.0,5163.0,1,1.0,0.0,0.0,531,376
21,82293.0,4906.0,1,1.0,0.0,0.0,376,371
22,86660.0,4367.0,1,1.0,0.0,0.0,371,353
23,90273.0,3613.0,1,1.0,0.0,0.0,353,325
24,93812.0,3539.0,1,1.0,0.0,0.0,325,351
25,98017.0,4205.0,1,1.0,0.0,0.0,351,334
26,102365.0,4348.0,1,1.0,0.0,0.0,334,277
27,107465.0,5100.0,1,1.0,0.0,0.0,277,289
28,112808.0,5343.0,1,1.0,0.0,0.0,289,359
29,117798.0,4990.0,1,1.0,0.0,0.0,359,311
30,122534.0,4736.0,1,1.0,0.0,0.0,311,224
31,126394.0,3860.0,1,1.0,0.0,0.0,224,284
32,131260.0,4866.0,1,1.0,0.0,0.0,284,291
33,136035.0,4775.0,1,1.0,0.0,0.0,291,305
34,141540.0,5505.0,1,1.0,0.0,0.0,305,266
35,146708.0,5168.0,1,1.0,0.0,0.0,266,293
36,151689.0,4981.0,1,1.0,0.0,0.0,293,249
37,155453.0,3764.0,1,1.0,0.0,0.0,249,243
38,158926.0,3473.0,1,1.0,0.0,0.0,243,341
39,163630.0,4704.0,1,1.0,0.0,0.0,341,327
40,168357.0,4727.0,1,1.0,0.0,0.0,327,332
41,173807.0,5450.0,1,1.0,0.0,0.0,332,294
42,178771.0,4964.0,1,1.0,0.0,0.0,294,277
43,183501.0,4730.0,1,1.0,0.0,0.0,277,235
44,186731.0,3230.0,1,1.0,0.0,0.0,235,218
45,189708.0,2977.0,1,1.0,0.0,0.0,218,285
46,193091.0,3383.0,1,1.0,0.0,0.0,285,286
47,196780.0,3689.0,1,1.0,0.0,0.0,286,263
48,200616.0,3836.0,1,1.0,0.0,0.0,263,276
49,204387.0,3771.0,1,1.0,0.0,0.0,276,230
50,207439.0,3052.0,1,1.0,0.0,0.0,230,230
51,209589.0,2150.0,1,1.0,0.0,0.0,230,179
52,211911.0,2322.0,1,0.0,0.0,0.0,179,218
53,215500.0,3589.0,1,0.0,0.0,0.0,218,272
54,218895.0,3395.0,1,0.0,0.0,0.0,272,278
55,222195.0,3300.0,1,0.0,0.0,0.0,278,248
56,224813.0,2618.0,1,0.0,0.0,0.0,248,259
57,227334.0,2521.0,1,0.0,0.0,0.0,259,192
58,229406.0,2072.0,1,0.0,0.0,0.0,192,153
59,231232.0,1826.0,1,0.0,0.0,0.0,153,202
60,233809.0,2577.0,1,0.0,0.0,0.0,202,230
61,236867.0,3058.0,1,0.0,0.0,0.0,230,222
62,239579.0,2712.0,1,0.0,0.0,0.0,222,222
63,242133.0,2554.0,1,0.0,0.0,0.0,222,249
64,244174.0,2041.0,1,0.0,0.0,0.0,249,167
65,245682.0,1508.0,1,0.0,0.0,0.0,167,153
66,247037.0,1355.0,1,0.0,0.0,0.0,153,170
67,248650.0,1613.0,1,0.0,0.0,0.0,170,182
68,250309.0,1659.0,1,0.0,0.0,0.0,182,188
69,252118.0,1809.0,1,0.0,0.0,0.0,188,179
70,253854.0,1736.0,1,0.0,0.0,0.0,179,195
71,255362.0,1508.0,1,0.0,0.0,0.0,195,130
72,256469.0,1107.0,1,0.0,0.0,0.0,130,107
73,257539.0,1070.0,1,0.0,0.0,0.0,107,169
74,258983.0,1444.0,2,0.0,0.0,0.0,169,194
75,260453.0,1470.0,2,0.0,0.0,0.0,194,200
76,261802.0,1349.0,2,0.0,0.0,0.0,200,191
77,263040.0,1238.0,2,0.0,0.0,0.0,191,178
78,264150.0,1110.0,2,0.0,0.0,0.0,178,110
79,264944.0,794.0,2,0.0,0.0,0.0,110,112
80,265662.0,718.0,2,0.0,0.0,0.0,112,125
81,266756.0,1094.0,2,0.0,0.0,0.0,125,149
82,267915.0,1159.0,2,0.0,0.0,0.0,149,143
83,269101.0,1186.0,2,0.0,0.0,0.0,143,115
84,270108.0,1007.0,2,0.0,0.0,0.0,115,110
85,271162.0,1054.0,2,0.0,0.0,0.0,110,98
86,272050.0,888.0,2,0.0,0.0,0.0,98,85
87,272857.0,807.0,2,0.0,0.0,0.0,85,144
88,273888.0,1031.0,2,0.0,0.0,0.0,144,133
89,274971.0,1083.0,2,0.0,0.0,0.0,133,147
90,275970.0,999.0,2,0.0,0.0,0.0,147,137
91,276990.0,1020.0,2,0.0,0.0,0.0,137,119
92,277974.0,984.0,2,0.0,0.0,0.0,119,71
93,278640.0,666.0,2,0.0,0.0,0.0,71,77
94,279264.0,624.0,2,0.0,0.0,0.0,77,141
95,280156.0,892.0,2,0.0,0.0,0.0,141,112
96,281038.0,882.0,2,0.0,0.0,0.0,112,105
97,281815.0,777.0,2,0.0,0.0,0.0,105,119
98,282512.0,697.0,2,0.0,0.0,0.0,119,123
99,283151.0,639.0,2,0.0,0.0,0.0,123,97
100,283785.0,634.0,2,0.0,0.0,0.0,97,47
101,284192.0,407.0,2,0.0,0.0,0.0,47,73
102,284812.0,620.0,2,0.0,0.0,0.0,73,79
103,285216.0,404.0,2,0.0,0.0,0.0,79,78
104,285279.0,63.0,2,0.0,0.0,0.0,78,74
105,285285.0,6.0,2,0.0,0.0,0.0,74,72
106,285787.0,502.0,2,0.0,0.0,0.0,72,47
107,286412.0,625.0,2,0.0,0.0,0.0,47,48
108,286931.0,519.0,2,0.0,0.0,0.0,48,67
109,287290.0,359.0,2,0.0,0.0,0.0,67,59
110,287874.0,584.0,2,0.0,0.0,0.0,59,64
111,288511.0,637.0,2,0.0,0.0,0.0,64,63
112,289154.0,643.0,2,0.0,0.0,0.0,63,48
113,289678.0,524.0,2,0.0,0.0,0.0,48,36
114,290504.0,826.0,2,0.0,0.0,0.0,36,29
115,291154.0,650.0,2,0.0,0.0,0.0,29,48
116,291691.0,537.0,2,0.0,0.0,0.0,48,52
117,292931.0,1240.0,2,0.0,0.0,0.0,52,53
118,293469.0,538.0,2,0.0,0.0,0.0,53,52
119,294116.0,647.0,2,0.0,0.0,0.0,52,52
120,294803.0,687.0,2,0.0,0.0,0.0,52,21
121,295632.0,829.0,2,0.0,0.0,0.0,21,31
122,296358.0,726.0,2,0.0,0.0,0.0,31,37
123,296944.0,586.0,2,0.0,0.0,0.0,37,21
124,297389.0,445.0,2,0.0,0.0,0.0,21,30
125,297952.0,563.0,2,0.0,0.0,0.0,30,40
126,298731.0,779.0,2,0.0,0.0,0.0,40,38
127,299500.0,769.0,2,0.0,0.0,0.0,38,23
128,300270.0,770.0,2,0.0,0.0,0.0,23,14
129,301020.0,750.0,2,0.0,0.0,0.0,14,33
130,301708.0,688.0,2,0.0,0.0,0.0,33,27
131,302261.0,553.0,2,0.0,0.0,0.0,27,21
132,303063.0,802.0,2,0.0,0.0,0.0,21,23
133,303910.0,847.0,2,0.0,0.0,0.0,23,22
134,304793.0,883.0,2,0.0,0.0,0.0,22,25
135,305562.0,769.0,2,0.0,0.0,0.0,25,13
136,306309.0,747.0,2,0.0,0.0,0.0,13,17
137,307251.0,942.0,2,0.0,0.0,0.0,17,15
138,307926.0,675.0,2,0.0,0.0,0.0,15,20
139,308832.0,906.0,2,0.0,0.0,0.0,20,21
